Quantifier,MoSS Variant Test,MoSS Variant Train,m_proximity,MAE,m_test,alpha
X_method,MoSS_MN,MoSS_Dir,0.0,0.4021505376344088,0.75,0.8
X_method,MoSS_MN,MoSS_Dir,0.0,0.4758771929824561,0.75,1.0
X_method,MoSS_MN,MoSS_Dir,0.25,0.22786885245901609,1.0,0.1
X_method,MoSS_MN,MoSS_Dir,0.25,0.2,1.0,0.2
X_method,MoSS_MN,MoSS_Dir,0.25,0.10000000000000009,1.0,0.4
X_method,MoSS_MN,MoSS_Dir,0.25,0.4461538461538461,1.0,0.6
X_method,MoSS_MN,MoSS_Dir,0.25,0.2999999999999998,1.0,0.8
X_method,MoSS_MN,MoSS_Dir,0.0,1.0,1.0,1.0
T50,MoSS_MN,MoSS_Dir,0.4,0.9,0.1,0.1
T50,MoSS_MN,MoSS_Dir,0.9,0.8,0.1,0.2
T50,MoSS_MN,MoSS_Dir,0.9,0.09999999999999998,0.1,0.4
T50,MoSS_MN,MoSS_Dir,0.4,0.3639175257731959,0.1,0.6
T50,MoSS_MN,MoSS_Dir,0.4,0.1891304347826086,0.1,0.8
T50,MoSS_MN,MoSS_Dir,0.4,0.06460674157303381,0.1,1.0
T50,MoSS_MN,MoSS_Dir,0.5,0.8583333333333333,0.25,0.1
T50,MoSS_MN,MoSS_Dir,0.5,0.7877450980392158,0.25,0.2
T50,MoSS_MN,MoSS_Dir,0.5,0.5771573604060913,0.25,0.4
T50,MoSS_MN,MoSS_Dir,0.25,0.6,0.25,0.6
T50,MoSS_MN,MoSS_Dir,0.5,0.13749999999999996,0.25,0.8
T50,MoSS_MN,MoSS_Dir,0.5,0.0,0.25,1.0
T50,MoSS_MN,MoSS_Dir,0.25,0.8915730337078652,0.5,0.1
T50,MoSS_MN,MoSS_Dir,0.25,0.8,0.5,0.2
T50,MoSS_MN,MoSS_Dir,0.25,0.6,0.5,0.4
T50,MoSS_MN,MoSS_Dir,0.25,0.4,0.5,0.6
T50,MoSS_MN,MoSS_Dir,0.25,0.1533678756476683,0.5,0.8
T50,MoSS_MN,MoSS_Dir,0.25,0.09308510638297862,0.5,1.0
T50,MoSS_MN,MoSS_Dir,0.0,0.8090909090909091,0.75,0.1
T50,MoSS_MN,MoSS_Dir,0.0,0.8,0.75,0.2
T50,MoSS_MN,MoSS_Dir,0.0,0.6,0.75,0.4
T50,MoSS_MN,MoSS_Dir,0.0,0.2421052631578946,0.75,0.6
T50,MoSS_MN,MoSS_Dir,0.0,0.19999999999999996,0.75,0.8
T50,MoSS_MN,MoSS_Dir,0.0,0.14102564102564108,0.75,1.0
T50,MoSS_MN,MoSS_Dir,0.25,0.9,1.0,0.1
T50,MoSS_MN,MoSS_Dir,0.25,0.8,1.0,0.2
T50,MoSS_MN,MoSS_Dir,0.25,0.6,1.0,0.4
T50,MoSS_MN,MoSS_Dir,0.25,0.4,1.0,0.6
T50,MoSS_MN,MoSS_Dir,0.25,0.19999999999999996,1.0,0.8
