Quantifier,MoSS Variant Test,MoSS Variant Train,m_proximity,MAE,m_test,alpha
X_method,MoSS,MoSS_Dir,0.25,0.0249999999999998,0.75,0.6
X_method,MoSS,MoSS_Dir,0.25,0.31508620689655176,0.75,0.8
X_method,MoSS,MoSS_Dir,0.0,0.30833333333333346,0.75,1.0
X_method,MoSS,MoSS_Dir,0.25,0.342307692307692,1.0,0.1
X_method,MoSS,MoSS_Dir,0.25,0.2351851851851849,1.0,0.2
X_method,MoSS,MoSS_Dir,0.0,0.05327102803738315,1.0,0.4
X_method,MoSS,MoSS_Dir,0.25,0.1000000000000002,1.0,0.6
X_method,MoSS,MoSS_Dir,0.25,0.6636363636363637,1.0,0.8
X_method,MoSS,MoSS_Dir,0.0,0.09999999999999998,1.0,1.0
T50,MoSS,MoSS_Dir,0.0,0.8469696969696969,0.1,0.1
T50,MoSS,MoSS_Dir,0.0,0.7191176470588234,0.1,0.2
T50,MoSS,MoSS_Dir,0.0,0.5901185770750987,0.1,0.4
T50,MoSS,MoSS_Dir,0.0,0.38425196850393706,0.1,0.6
T50,MoSS,MoSS_Dir,0.0,0.19999999999999996,0.1,0.8
T50,MoSS,MoSS_Dir,0.0,0.021568627450980427,0.1,1.0
T50,MoSS,MoSS_Dir,0.0,0.8822834645669292,0.25,0.1
T50,MoSS,MoSS_Dir,0.0,0.770817120622568,0.25,0.2
T50,MoSS,MoSS_Dir,0.75,0.5893048128342245,0.25,0.4
T50,MoSS,MoSS_Dir,0.0,0.3845559845559846,0.25,0.6
T50,MoSS,MoSS_Dir,0.0,0.19999999999999996,0.25,0.8
T50,MoSS,MoSS_Dir,0.0,0.0311284046692607,0.25,1.0
T50,MoSS,MoSS_Dir,0.0,0.8559585492227979,0.5,0.1
T50,MoSS,MoSS_Dir,0.0,0.8,0.5,0.2
T50,MoSS,MoSS_Dir,0.5,0.09999999999999998,0.5,0.4
T50,MoSS,MoSS_Dir,0.0,0.3203296703296703,0.5,0.6
T50,MoSS,MoSS_Dir,0.5,0.19999999999999996,0.5,0.8
T50,MoSS,MoSS_Dir,0.25,0.0078125,0.5,1.0
T50,MoSS,MoSS_Dir,0.0,0.8426229508196721,0.75,0.1
T50,MoSS,MoSS_Dir,0.0,0.718181818181818,0.75,0.2
T50,MoSS,MoSS_Dir,0.25,0.4913043478260869,0.75,0.4
T50,MoSS,MoSS_Dir,0.25,0.3057971014492753,0.75,0.6
T50,MoSS,MoSS_Dir,0.25,0.14808743169398897,0.75,0.8
T50,MoSS,MoSS_Dir,0.25,0.0625,0.75,1.0
T50,MoSS,MoSS_Dir,0.0,0.9,1.0,0.1
T50,MoSS,MoSS_Dir,0.5,0.8,1.0,0.2
T50,MoSS,MoSS_Dir,0.5,0.6,1.0,0.4
T50,MoSS,MoSS_Dir,0.25,0.1325581395348836,1.0,0.6
T50,MoSS,MoSS_Dir,0.25,0.13283582089552226,1.0,0.8
T50,MoSS,MoSS_Dir,0.0,0.7500000000000009,1.0,1.0
MAX,MoSS,MoSS_Dir,0.0,0.4,0.1,0.1
MAX,MoSS,MoSS_Dir,0.0,0.3,0.1,0.2
MAX,MoSS,MoSS_Dir,0.0,0.09899799599198394,0.1,0.4
MAX,MoSS,MoSS_Dir,0.0,0.09999999999999998,0.1,0.6
MAX,MoSS,MoSS_Dir,0.0,0.30000000000000004,0.1,0.8
MAX,MoSS,MoSS_Dir,0.0,0.5,0.1,1.0
MAX,MoSS,MoSS_Dir,0.0,0.4,0.25,0.1
MAX,MoSS,MoSS_Dir,0.0,0.3,0.25,0.2
MAX,MoSS,MoSS_Dir,0.25,0.05825688073394497,0.25,0.4
MAX,MoSS,MoSS_Dir,0.25,0.24189189189189192,0.25,0.6
MAX,MoSS,MoSS_Dir,0.25,0.4948051948051948,0.25,0.8
MAX,MoSS,MoSS_Dir,0.0,0.5041322314049587,0.25,1.0
MAX,MoSS,MoSS_Dir,0.25,0.445662100456621,0.5,0.1
MAX,MoSS,MoSS_Dir,0.5,0.2638297872340425,0.5,0.2
MAX,MoSS,MoSS_Dir,0.5,0.06759259259259259,0.5,0.4
MAX,MoSS,MoSS_Dir,0.25,0.22954545454545455,0.5,0.6
MAX,MoSS,MoSS_Dir,0.0,0.4379310344827587,0.5,0.8
MAX,MoSS,MoSS_Dir,0.0,0.5296610169491525,0.5,1.0
MAX,MoSS,MoSS_Dir,0.0,0.5157635467980295,0.75,0.1
MAX,MoSS,MoSS_Dir,0.25,0.8,0.75,0.2
MAX,MoSS,MoSS_Dir,0.25,0.4,0.75,0.4
MAX,MoSS,MoSS_Dir,0.0,0.4,0.75,0.6
MAX,MoSS,MoSS_Dir,0.25,0.8,0.75,0.8
MAX,MoSS,MoSS_Dir,0.25,0.5444444444444444,0.75,1.0
MAX,MoSS,MoSS_Dir,0.25,0.3999999999999997,1.0,0.1
MAX,MoSS,MoSS_Dir,0.25,0.2,1.0,0.2
MAX,MoSS,MoSS_Dir,0.0,0.4,1.0,0.4
MAX,MoSS,MoSS_Dir,0.25,0.6,1.0,0.6
MAX,MoSS,MoSS_Dir,0.5,0.16979166666666656,1.0,0.8
MAX,MoSS,MoSS_Dir,0.0,0.47846889952153104,1.0,1.0
MS,MoSS,MoSS_Dir,0.0,0.4,0.1,0.1
MS,MoSS,MoSS_Dir,0.0,0.3,0.1,0.2
MS,MoSS,MoSS_Dir,0.0,0.10100401606425702,0.1,0.4
MS,MoSS,MoSS_Dir,0.0,0.09999999999999998,0.1,0.6
MS,MoSS,MoSS_Dir,0.0,0.30100000000000005,0.1,0.8
MS,MoSS,MoSS_Dir,0.0,0.5010020040080161,0.1,1.0
MS,MoSS,MoSS_Dir,0.0,0.39795501022494884,0.25,0.1
MS,MoSS,MoSS_Dir,0.75,0.298,0.25,0.2
MS,MoSS,MoSS_Dir,0.0,0.09795501022494885,0.25,0.4
MS,MoSS,MoSS_Dir,0.0,0.09999999999999998,0.25,0.6
MS,MoSS,MoSS_Dir,0.0,0.30000000000000004,0.25,0.8
MS,MoSS,MoSS_Dir,0.0,0.5030800821355237,0.25,1.0
MS,MoSS,MoSS_Dir,0.0,0.377,0.5,0.1
MS,MoSS,MoSS_Dir,0.5,0.303,0.5,0.2
MS,MoSS,MoSS_Dir,0.0,0.09899999999999998,0.5,0.4
MS,MoSS,MoSS_Dir,0.5,0.119,0.5,0.6
MS,MoSS,MoSS_Dir,0.0,0.30200000000000005,0.5,0.8
MS,MoSS,MoSS_Dir,0.0,0.4826086956521738,0.5,1.0
MS,MoSS,MoSS_Dir,0.0,0.394,0.75,0.1
MS,MoSS,MoSS_Dir,0.25,0.293,0.75,0.2
MS,MoSS,MoSS_Dir,0.0,0.10199999999999998,0.75,0.4
MS,MoSS,MoSS_Dir,0.25,0.6,0.75,0.6
