Quantifier,MoSS Variant Test,MoSS Variant Train,m_proximity,MAE,m_test,alpha
SMM,MoSS_Dir,MoSS_Dir,0.0,0.004655022708648704,0.1,1.0
SMM,MoSS_Dir,MoSS_Dir,0.0,0.009702567308917734,0.25,0.1
SMM,MoSS_Dir,MoSS_Dir,0.0,0.0018784392602301248,0.25,0.2
SMM,MoSS_Dir,MoSS_Dir,0.0,0.0024431854320726143,0.25,0.4
SMM,MoSS_Dir,MoSS_Dir,0.0,0.0027991316905601193,0.25,0.6
SMM,MoSS_Dir,MoSS_Dir,0.0,0.0032336383908412314,0.25,0.8
SMM,MoSS_Dir,MoSS_Dir,0.0,0.007280020040476787,0.25,1.0
SMM,MoSS_Dir,MoSS_Dir,0.0,0.06686206992207,0.5,0.1
SMM,MoSS_Dir,MoSS_Dir,0.0,0.028071399695209692,0.5,0.2
SMM,MoSS_Dir,MoSS_Dir,0.0,0.19787665732745194,0.5,0.4
SMM,MoSS_Dir,MoSS_Dir,0.5,0.006086366115476194,0.5,0.6
SMM,MoSS_Dir,MoSS_Dir,0.0,0.038160622996495586,0.5,0.8
SMM,MoSS_Dir,MoSS_Dir,0.5,0.029411997715750537,0.5,1.0
SMM,MoSS_Dir,MoSS_Dir,0.25,0.24312065571876057,0.75,0.1
SMM,MoSS_Dir,MoSS_Dir,0.0,0.17309811925604357,0.75,0.2
SMM,MoSS_Dir,MoSS_Dir,0.25,0.1208743501781126,0.75,0.4
SMM,MoSS_Dir,MoSS_Dir,0.25,1.0552701130310962,0.75,0.6
SMM,MoSS_Dir,MoSS_Dir,0.0,0.12962659649070996,0.75,0.8
SMM,MoSS_Dir,MoSS_Dir,0.25,0.04918147161845421,0.75,1.0
SMM,MoSS_Dir,MoSS_Dir,0.0,1.8615303231145188,1.0,0.1
SMM,MoSS_Dir,MoSS_Dir,0.5,0.37540121801477105,1.0,0.2
SMM,MoSS_Dir,MoSS_Dir,0.0,2.160912256312195,1.0,0.4
SMM,MoSS_Dir,MoSS_Dir,0.0,0.15426008263926155,1.0,0.6
SMM,MoSS_Dir,MoSS_Dir,0.5,0.31353917702344436,1.0,0.8
SMM,MoSS_Dir,MoSS_Dir,0.0,0.4533443840395617,1.0,1.0
ACC,MoSS_Dir,MoSS_Dir,0.0,0.4,0.1,0.1
ACC,MoSS_Dir,MoSS_Dir,0.0,0.3,0.1,0.2
ACC,MoSS_Dir,MoSS_Dir,0.0,0.09999999999999998,0.1,0.4
ACC,MoSS_Dir,MoSS_Dir,0.0,0.09999999999999998,0.1,0.6
ACC,MoSS_Dir,MoSS_Dir,0.0,0.30000000000000004,0.1,0.8
ACC,MoSS_Dir,MoSS_Dir,0.0,0.5,0.1,1.0
ACC,MoSS_Dir,MoSS_Dir,0.0,0.4,0.25,0.1
ACC,MoSS_Dir,MoSS_Dir,0.0,0.3,0.25,0.2
ACC,MoSS_Dir,MoSS_Dir,0.0,0.09999999999999998,0.25,0.4
ACC,MoSS_Dir,MoSS_Dir,0.0,0.09999999999999998,0.25,0.6
ACC,MoSS_Dir,MoSS_Dir,0.0,0.30000000000000004,0.25,0.8
ACC,MoSS_Dir,MoSS_Dir,0.0,0.5,0.25,1.0
ACC,MoSS_Dir,MoSS_Dir,0.0,0.3999999999999999,0.5,0.1
ACC,MoSS_Dir,MoSS_Dir,0.5,0.3,0.5,0.2
ACC,MoSS_Dir,MoSS_Dir,0.0,0.09999999999999998,0.5,0.4
ACC,MoSS_Dir,MoSS_Dir,0.5,0.09999999999999998,0.5,0.6
ACC,MoSS_Dir,MoSS_Dir,0.25,0.30000000000000004,0.5,0.8
ACC,MoSS_Dir,MoSS_Dir,0.0,0.5,0.5,1.0
ACC,MoSS_Dir,MoSS_Dir,0.0,0.40000000000000013,0.75,0.1
ACC,MoSS_Dir,MoSS_Dir,0.0,0.3000000000000002,0.75,0.2
ACC,MoSS_Dir,MoSS_Dir,0.0,0.0999999999999997,0.75,0.4
ACC,MoSS_Dir,MoSS_Dir,0.0,0.1000000000000002,0.75,0.6
ACC,MoSS_Dir,MoSS_Dir,0.25,0.30000000000000004,0.75,0.8
ACC,MoSS_Dir,MoSS_Dir,0.0,0.5,0.75,1.0
ACC,MoSS_Dir,MoSS_Dir,0.5,0.4,1.0,0.1
ACC,MoSS_Dir,MoSS_Dir,0.5,0.3,1.0,0.2
ACC,MoSS_Dir,MoSS_Dir,0.5,0.09999999999999959,1.0,0.4
ACC,MoSS_Dir,MoSS_Dir,0.0,0.10799999999999998,1.0,0.6
ACC,MoSS_Dir,MoSS_Dir,0.5,0.30000000000000004,1.0,0.8
ACC,MoSS_Dir,MoSS_Dir,0.0,0.5,1.0,1.0
X_method,MoSS_Dir,MoSS_Dir,0.0,0.4,0.1,0.1
X_method,MoSS_Dir,MoSS_Dir,0.0,0.29899598393574295,0.1,0.2
X_method,MoSS_Dir,MoSS_Dir,0.0,0.09999999999999998,0.1,0.4
X_method,MoSS_Dir,MoSS_Dir,0.0,0.09999999999999998,0.1,0.6
X_method,MoSS_Dir,MoSS_Dir,0.0,0.30000000000000004,0.1,0.8
X_method,MoSS_Dir,MoSS_Dir,0.0,0.501004016064257,0.1,1.0
X_method,MoSS_Dir,MoSS_Dir,0.0,0.39692622950819667,0.25,0.1
X_method,MoSS_Dir,MoSS_Dir,0.0,0.29691991786447636,0.25,0.2
