Quantifier,Quadapt_Variant,MoSS_Test_Variant,MoSS_Train_Variant,MAE,m_test,m_train,alpha,Iteration
MAX,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,2
MS,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,2
MS2,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0005010020040079888,0.1,0.1,0.25,2
CC,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,2
DyS,None,MoSS_Dir,MoSS_Dir,0.0053057109497851584,0.1,0.1,0.25,2
HDy,None,MoSS_Dir,MoSS_Dir,0.015000000000000013,0.1,0.1,0.25,2
SORD,None,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,2
SMM,None,MoSS_Dir,MoSS_Dir,0.006973313632077788,0.1,0.1,0.25,2
ACC,None,MoSS_Dir,MoSS_Dir,0.0010040160642570406,0.1,0.1,0.25,2
X_method,None,MoSS_Dir,MoSS_Dir,0.0010040160642570406,0.1,0.1,0.25,2
T50,None,MoSS_Dir,MoSS_Dir,0.2560728744939271,0.1,0.1,0.25,2
MAX,None,MoSS_Dir,MoSS_Dir,0.0010040160642570406,0.1,0.1,0.25,2
MS,None,MoSS_Dir,MoSS_Dir,0.0005030181086519148,0.1,0.1,0.25,2
MS2,None,MoSS_Dir,MoSS_Dir,0.0010040160642570406,0.1,0.1,0.25,2
CC,None,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,2
DyS,MoSS,MoSS_Dir,MoSS_Dir,0.0036791816631399077,0.1,0.1,0.25,3
HDy,MoSS,MoSS_Dir,MoSS_Dir,0.035,0.1,0.1,0.25,3
SORD,MoSS,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.25,3
SMM,MoSS,MoSS_Dir,MoSS_Dir,0.012665581051632901,0.1,0.1,0.25,3
ACC,MoSS,MoSS_Dir,MoSS_Dir,0.008517034068136253,0.1,0.1,0.25,3
X_method,MoSS,MoSS_Dir,MoSS_Dir,0.009036144578313254,0.1,0.1,0.25,3
T50,MoSS,MoSS_Dir,MoSS_Dir,0.2871900826446281,0.1,0.1,0.25,3
MAX,MoSS,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.25,3
MS,MoSS,MoSS_Dir,MoSS_Dir,0.011044176706827336,0.1,0.1,0.25,3
MS2,MoSS,MoSS_Dir,MoSS_Dir,0.008517034068136253,0.1,0.1,0.25,3
CC,MoSS,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.25,3
DyS,MoSS_MN,MoSS_Dir,MoSS_Dir,0.015685273273633005,0.1,0.1,0.25,3
HDy,MoSS_MN,MoSS_Dir,MoSS_Dir,0.04999999999999999,0.1,0.1,0.25,3
SORD,MoSS_MN,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,3
SMM,MoSS_MN,MoSS_Dir,MoSS_Dir,0.11328479392912061,0.1,0.1,0.25,3
ACC,MoSS_MN,MoSS_Dir,MoSS_Dir,0.010532150776053156,0.1,0.1,0.25,3
X_method,MoSS_MN,MoSS_Dir,MoSS_Dir,0.025229357798165153,0.1,0.1,0.25,3
T50,MoSS_MN,MoSS_Dir,MoSS_Dir,0.27941176470588236,0.1,0.1,0.25,3
MAX,MoSS_MN,MoSS_Dir,MoSS_Dir,0.01733780760626394,0.1,0.1,0.25,3
MS,MoSS_MN,MoSS_Dir,MoSS_Dir,0.018348623853210982,0.1,0.1,0.25,3
MS2,MoSS_MN,MoSS_Dir,MoSS_Dir,0.0033898090141273596,0.1,0.1,0.25,3
CC,MoSS_MN,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.25,3
DyS,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.006993364208147834,0.1,0.1,0.25,3
HDy,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.01999999999999999,0.1,0.1,0.25,3
SORD,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.25,3
SMM,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.02027877271671885,0.1,0.1,0.25,3
ACC,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.25,3
X_method,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.25,3
T50,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.23689138576779023,0.1,0.1,0.25,3
MAX,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.01052104208416832,0.1,0.1,0.25,3
MS,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.25,3
MS2,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.25,3
CC,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.25,3
DyS,None,MoSS_Dir,MoSS_Dir,0.006167926688741332,0.1,0.1,0.25,3
HDy,None,MoSS_Dir,MoSS_Dir,0.0050000000000000044,0.1,0.1,0.25,3
SORD,None,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.25,3
SMM,None,MoSS_Dir,MoSS_Dir,0.021035748758557737,0.1,0.1,0.25,3
ACC,None,MoSS_Dir,MoSS_Dir,0.009036144578313254,0.1,0.1,0.25,3
X_method,None,MoSS_Dir,MoSS_Dir,0.009036144578313254,0.1,0.1,0.25,3
T50,None,MoSS_Dir,MoSS_Dir,0.2763157894736842,0.1,0.1,0.25,3
MAX,None,MoSS_Dir,MoSS_Dir,0.009036144578313254,0.1,0.1,0.25,3
MS,None,MoSS_Dir,MoSS_Dir,0.009557344064386353,0.1,0.1,0.25,3
MS2,None,MoSS_Dir,MoSS_Dir,0.009036144578313254,0.1,0.1,0.25,3
CC,None,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.25,3
DyS,MoSS,MoSS_Dir,MoSS_Dir,0.0023270200797294027,0.1,0.1,0.5,1
HDy,MoSS,MoSS_Dir,MoSS_Dir,0.020000000000000018,0.1,0.1,0.5,1
SORD,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,1
SMM,MoSS,MoSS_Dir,MoSS_Dir,0.01064604425038107,0.1,0.1,0.5,1
ACC,MoSS,MoSS_Dir,MoSS_Dir,0.0010020040080159776,0.1,0.1,0.5,1
X_method,MoSS,MoSS_Dir,MoSS_Dir,0.001002004008016033,0.1,0.1,0.5,1
T50,MoSS,MoSS_Dir,MoSS_Dir,0.4652509652509652,0.1,0.1,0.5,1
MAX,MoSS,MoSS_Dir,MoSS_Dir,0.001002004008016033,0.1,0.1,0.5,1
MS,MoSS,MoSS_Dir,MoSS_Dir,0.0010060362173038295,0.1,0.1,0.5,1
MS2,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,1
CC,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,1
DyS,MoSS_MN,MoSS_Dir,MoSS_Dir,0.03181006905453165,0.1,0.1,0.5,1
HDy,MoSS_MN,MoSS_Dir,MoSS_Dir,0.025000000000000022,0.1,0.1,0.5,1
SORD,MoSS_MN,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.5,1
SMM,MoSS_MN,MoSS_Dir,MoSS_Dir,0.0190936276391519,0.1,0.1,0.5,1
ACC,MoSS_MN,MoSS_Dir,MoSS_Dir,0.011210762331838597,0.1,0.1,0.5,1
X_method,MoSS_MN,MoSS_Dir,MoSS_Dir,0.002242152466367664,0.1,0.1,0.5,1
T50,MoSS_MN,MoSS_Dir,MoSS_Dir,0.5,0.1,0.1,0.5,1
MAX,MoSS_MN,MoSS_Dir,MoSS_Dir,0.02488687782805432,0.1,0.1,0.5,1
MS,MoSS_MN,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,1
MS2,MoSS_MN,MoSS_Dir,MoSS_Dir,0.004444444444444473,0.1,0.1,0.5,1
CC,MoSS_MN,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,1
DyS,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.011527362736436175,0.1,0.1,0.5,1
HDy,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,1
SORD,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,1
